Model,MRR,Hits@1,Hits@3,Hits@10
TransE,0.20255686342716217,0.12741935483870967,0.22419354838709676,0.3629032258064516
ComplEx,0.010624585673213005,0.0032258064516129032,0.014516129032258065,0.016129032258064516
