model,MRR,Hits@1,Hits@3,Hits@10
TransE,0.2047077864408493,0.11854838709677419,0.22903225806451613,0.38870967741935486
ComplEx,0.010800539515912533,0.004032258064516129,0.013709677419354839,0.016935483870967744
