private_entity,external_uri,confidence,description,wikidata_id,wikidata_label
Université La Sagesse,,0.0,,,
Grand Lycée Franco-Libanais,,0.0,,,
International College,,0.0,,,
Rawdah High School,,0.0,,,
"Saint Mary's Orthodox College,[164",,0.0,,,
Collège Notre Dame de Nazareth,,0.0,,,
Collège du Sacré-Coeur Gemmayzé,,0.0,,,
Collège Protestant Français,,0.0,,,
German School of Beirut,,0.0,,,
the Armenian Hamazkayin Arslanian College,,0.0,,,
the American Board of Commissioners for Foreign Missions,,0.0,,,
"-
Saint Joseph University",,0.0,,,
Jesuits,,0.0,,,
Global University,,0.0,,,
the Paris Chamber of Commerce,,0.0,,,
the Bank of Lebanon,,0.0,,,
Homs,,0.0,,,
the Lebanese Commuting Company,,0.0,,,
Ahdab Commuting and Trading Company,,0.0,,,
the Eastern Roman Empire,,0.0,,,
Arab League,,0.0,,,
the same year,,0.0,,,
Mar Mikhael,,0.0,,,
the medieval Mamluk period.[179,,0.0,,,
the end of the 19th century,,0.0,,,
The Robert Mouawad Private Museum,,0.0,,,
Henri Pharaon's,,0.0,,,
The Saint Joseph University,,0.0,,,
the Arabic Middle East,,0.0,,,
Mim,,0.0,,,
Mémoire du Temps,,0.0,,,
some 100 million of years ago,,0.0,,,
Lonely Planet,,0.0,,,
Mercer,,0.0,,,
EuroCost International,,0.0,,,
the Middle East.[143,,0.0,,,
2013,,0.0,,,
Durban,,0.0,,,
Havana,,0.0,,,
Yahoo,,0.0,,,
the year 2019,,0.0,,,
World Tourists.[citation,,0.0,,,
October 2019,,0.0,,,
LBC,,0.0,,,
Tele Lumiere,,0.0,,,
Future TV,,0.0,,,
NBN,,0.0,,,
Saudi TV 1,,0.0,,,
MBC 1,,0.0,,,
MBC Action,,0.0,,,
Rotana,,0.0,,,
OSN First,,0.0,,,
OSN News,,0.0,,,
Arabic Series Channel,,0.0,,,
Radio Stations Mix FM Lebanon,,0.0,,,
Radio One Lebanon,,0.0,,,
RLL,,0.0,,,
Jaras Scoop,,0.0,,,
