Model,MRR,Hits@1,Hits@3,Hits@10
TransE,0.20685870945453644,0.10967741935483871,0.23387096774193547,0.41451612903225804
ComplEx,0.01097649335861206,0.004838709677419355,0.012903225806451613,0.017741935483870968
