private_entity,external_uri,confidence,description,wikidata_id,wikidata_label
several years ago,,0.0,,,
2011,http://www.wikidata.org/entity/Q1994,1.0,year,Q1994,2011
the Directorate General of Antiquities of Lebanese University,,0.0,,,
26 June 2012,http://www.wikidata.org/entity/Q17982466,0.77,date,Q17982466,"June 26, 2012"
Gaby Layoun,http://www.wikidata.org/entity/Q3094185,1.0,Minister of Culture,Q3094185,Gaby Layoun
Venus Towers Real Estate Development Company,,0.0,,,
Layoun,http://www.wikidata.org/entity/Q55229735,0.973,family name,Q55229735,Layouni
Hanz Curver,,0.0,,,
Ralph Pederson,,0.0,,,
Nautical Archaeology,http://www.wikidata.org/entity/Q10335820,0.883,organization,Q10335820,Nautical Archaeology Society
Marburg,http://www.wikidata.org/entity/Q3869,1.0,"city in Hesse, Germany, and seat of Landkreis Marburg-Biedenkopf",Q3869,Marburg
Germany,http://www.wikidata.org/entity/Q183,1.0,country in Central Europe,Q183,Germany
140 BC,http://www.wikidata.org/entity/Q4792,1.0,year,Q4792,140 BC
Diodotus Tryphon,http://www.wikidata.org/entity/Q297651,1.0,Seleucid king,Q297651,Diodotus Tryphon
Antiochus VII Sidetes,http://www.wikidata.org/entity/Q294945,1.0,king of Seleucid Empire from 138 to 129 BC,Q294945,Antiochus VII Sidetes
Laodicea,http://www.wikidata.org/entity/Q4006753,1.0,genus of cnidarians,Q4006753,Laodicea
Phoenicia,http://www.wikidata.org/entity/Q41642,1.0,ancient Semitic maritime civilization,Q41642,Phoenicia
1991,http://www.wikidata.org/entity/Q2062,1.0,year,Q2062,1991
1993,http://www.wikidata.org/entity/Q2065,1.0,year,Q2065,1993
Mid-1st-century,,0.0,,,
Berytus,http://www.wikidata.org/entity/Q21446333,1.0,genus of insects,Q21446333,Berytus
Tyche,http://www.wikidata.org/entity/Q203019,1.0,Öpik–Oort Comet Cloud hypothetical planet,Q203019,Tyche
