entity,label,source_url,title
1964,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Diana Kirkbride,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Roger Saidah,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Bronze Age,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Middle Bronze Age,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Phoenician period,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
several years ago,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
2011,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Directorate General of Antiquities of Lebanese University,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
26 June 2012,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Gaby Layoun,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Venus Towers Real Estate Development Company,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Layoun,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Hanz Curver,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Ralph Pederson,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Nautical Archaeology,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Marburg,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Germany,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
140 BC,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Diodotus Tryphon,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Antiochus VII Sidetes,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Laodicea,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Phoenicia,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1991,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1993,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Mid-1st-century,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Berytus,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Tyche,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Aldus Manutius,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
15th century,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Venice,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Seleucid Empire,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Tigranes,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Kingdom of Armenia,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Armenia,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Syria,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Pompey,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
64 BC,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Roman Empire,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the 1st century BC,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Bekaa Valley,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Rome,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Claudius,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Heliopolis,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Baalbek,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
14 BC,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Herod the Great,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Roman Empire.[39,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Augustus,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Papinian,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Ulpian,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Sozomen,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
between 400 and 402.[42,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Justinian,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the 6th century,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
AD 533,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
551,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Acre,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Israel,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Middle Ages,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1110 to 1291,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Kingdom of Jerusalem,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Saladin,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1187,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1197,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Henry I,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Brabant,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Ibelin,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Old Lord,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1204,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1291,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Mamluk,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
al-Ashraf Khalil,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Selim I,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Fakhr-al-Din II,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the 17th century,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Jezzar Pasha,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Abdullah Pasha,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Ibrahim Pasha,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Egypt,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Tafil Buzi,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the second half of the nineteenth century,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
France,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Sursock,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1860,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Mount Lebanon,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Vilayet Mehmed Rashid Pasha,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
"the Beirut Municipal Council,[55",ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the following decades.[55,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Vilayet,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1888,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Latakia,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Europe,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the United States,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the American University of Beirut,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Aleppo,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1907,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Marseille,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1911,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Encyclopædia Britannica,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the start of the 20th century,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Salim Ali Salam,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Municipality of Beirut,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
2003,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Yussef Bin Ahmad Bin Ali Al Husseini,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Syrian Coast,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1351,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Ottoman Empire,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Bilad al-Sham,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1943,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Persian Gulf,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
23 April 1954,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
2005,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1975,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the first two years,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1978,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Achrafiyeh,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
three-month,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
West Beirut,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1983,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Between 1989 and 1990,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
East Beirut,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Aoun,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Samir Geagea's,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Maronite Christian Lebanese Forces,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Syrian Armed Forces,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Elias Hrawi,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Salim Al-Huss,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1990,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
2006,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Middle East,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Solidere,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1994,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Rafic Hariri,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1999,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
2016,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
A month later,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
"26 April 2005,[77",DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
15 October 2008.[78,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
12 July 2006,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
